material,score
Ti6Al4V_workpiece,57.30420897
Ti6Al4V_workpiece,53.02234197
Ti6Al4V_workpiece,52.14044271
Ti6Al4V_workpiece,49.71180433
Ti6Al4V_workpiece,50.01601663
Ti6Al4V_workpiece,51.89991854
Ti6Al4V_workpiece,57.7509678
Ti6Al4V_workpiece,51.45175547
Ti6Al4V_workpiece,46.69679121
Ti6Al4V_workpiece,49.54299188
Ti6Al4V_workpiece,47.30099842
Ti6Al4V_workpiece,51.52170509
Ti6Al4V_workpiece,46.80536257
Ti6Al4V_workpiece,48.0375085
Ti6Al4V_workpiece,48.36704936
Ti6Al4V_workpiece,54.12310668
Ti6Al4V_workpiece,50.46970604
Ti6Al4V_workpiece,52.61375087
Ti6Al4V_workpiece,52.40853753
Ti6Al4V_workpiece,53.19049221
Ti6Al4V_workpiece,53.34121774
Ti6Al4V_workpiece,46.17989873
Ti6Al4V_workpiece,55.47364344
Ti6Al4V_workpiece,46.55746645
Ti6Al4V_workpiece,48.78788482
Ti6Al4V_workpiece,52.1090169
Ti6Al4V_workpiece,55.27629792
Ti6Al4V_workpiece,54.17157693
Ti6Al4V_workpiece,49.51405772
Ti6Al4V_workpiece,48.51892307
Ti6Al4V_workpiece,52.62623082
Ti6Al4V_workpiece,49.91252376
Ti6Al4V_workpiece,49.15536787
Ti6Al4V_workpiece,54.10680166
Ti6Al4V_workpiece,49.39914073
Ti6Al4V_workpiece,49.40939363
Ti6Al4V_workpiece,50.37665508
Ti6Al4V_workpiece,57.30944735
Ti6Al4V_workpiece,55.21194065
Ti6Al4V_workpiece,50.97154218
Ti6Al4V_workpiece,52.37727501
Ti6Al4V_workpiece,49.01320434
Ti6Al4V_workpiece,48.35878444
Ti6Al4V_workpiece,50.46013896
Ti6Al4V_workpiece,53.60406056
Ti6Al4V_workpiece,47.52914978
Ti6Al4V_workpiece,48.1396393
Ti6Al4V_workpiece,57.07556261
Ti6Al4V_workpiece,53.48153909
Ti6Al4V_workpiece,52.02982574
Ti6Al4V_workpiece,57.07171529
Ti6Al4V_workpiece,50.16929136
Ti6Al4V_workpiece,51.30193352
Ti6Al4V_workpiece,51.33362775
Ti6Al4V_workpiece,49.13192275
Ti6Al4V_workpiece,49.06512715
Ti6Al4V_workpiece,51.86869595
Ti6Al4V_workpiece,50.92989845
Ti6Al4V_workpiece,48.43167354
Ti6Al4V_workpiece,51.33707638
Ti6Al4V_workpiece,52.74393651
Ti6Al4V_workpiece,53.44009919
Ti6Al4V_workpiece,52.77045983
Ti6Al4V_workpiece,56.61565528
Ti6Al4V_workpiece,52.17278465
Ti6Al4V_workpiece,52.73150739
